sample_accession	sample_description	description	study_accession
SAMN31463557	16S rRNA	16S rRNA	PRJNA894544
SAMN31463558	16S rRNA	16S rRNA	PRJNA894544
SAMN31463561	16S rRNA	16S rRNA	PRJNA894544
SAMN31463566	16S rRNA	16S rRNA	PRJNA894544
SAMN31463567	16S rRNA	16S rRNA	PRJNA894544
SAMN31463571	16S rRNA	16S rRNA	PRJNA894544
SAMN31463572	16S rRNA	16S rRNA	PRJNA894544
SAMN31463575	16S rRNA	16S rRNA	PRJNA894544
SAMN31463577	16S rRNA	16S rRNA	PRJNA894544
SAMN31463582	16S rRNA	16S rRNA	PRJNA894544
SAMN31463587	16S rRNA	16S rRNA	PRJNA894544
SAMN31463588	16S rRNA	16S rRNA	PRJNA894544
SAMN31463592	16S rRNA	16S rRNA	PRJNA894544
SAMN31463593	16S rRNA	16S rRNA	PRJNA894544
SAMN31463595	16S rRNA	16S rRNA	PRJNA894544
SAMN31463600	16S rRNA	16S rRNA	PRJNA894544
SAMN31463601	16S rRNA	16S rRNA	PRJNA894544
SAMN31463607	16S rRNA	16S rRNA	PRJNA894544
SAMN31463608	16S rRNA	16S rRNA	PRJNA894544
SAMN31463609	16S rRNA	16S rRNA	PRJNA894544
SAMN31463622	16S rRNA	16S rRNA	PRJNA894544
SAMN31463625	16S rRNA	16S rRNA	PRJNA894544
SAMN31463629	16S rRNA	16S rRNA	PRJNA894544
SAMN31463632	16S rRNA	16S rRNA	PRJNA894544
SAMN31463636	16S rRNA	16S rRNA	PRJNA894544
SAMN31463637	16S rRNA	16S rRNA	PRJNA894544
SAMN31463641	16S rRNA	16S rRNA	PRJNA894544
SAMN31463646	16S rRNA	16S rRNA	PRJNA894544
SAMN31463648	16S rRNA	16S rRNA	PRJNA894544
SAMN31463652	16S rRNA	16S rRNA	PRJNA894544
SAMN31463655	16S rRNA	16S rRNA	PRJNA894544
SAMN31463656	16S rRNA	16S rRNA	PRJNA894544
SAMN31463662	16S rRNA	16S rRNA	PRJNA894544
SAMN31463663	16S rRNA	16S rRNA	PRJNA894544
SAMN31463669	16S rRNA	16S rRNA	PRJNA894544
SAMN31463671	16S rRNA	16S rRNA	PRJNA894544
SAMN31463674	16S rRNA	16S rRNA	PRJNA894544
SAMN31463679	16S rRNA	16S rRNA	PRJNA894544
SAMN31463684	16S rRNA	16S rRNA	PRJNA894544
SAMN31463685	16S rRNA	16S rRNA	PRJNA894544
SAMN31463686	16S rRNA	16S rRNA	PRJNA894544
SAMN31463688	16S rRNA	16S rRNA	PRJNA894544
SAMN31463689	16S rRNA	16S rRNA	PRJNA894544
SAMN31463690	16S rRNA	16S rRNA	PRJNA894544
SAMN31463692	16S rRNA	16S rRNA	PRJNA894544
SAMN31463694	16S rRNA	16S rRNA	PRJNA894544
SAMN31463696	16S rRNA	16S rRNA	PRJNA894544
SAMN31463699	16S rRNA	16S rRNA	PRJNA894544
SAMN31463700	16S rRNA	16S rRNA	PRJNA894544
SAMN31463701	16S rRNA	16S rRNA	PRJNA894544
SAMN31463703	16S rRNA	16S rRNA	PRJNA894544
SAMN31463705	16S rRNA	16S rRNA	PRJNA894544
