sample_accession	sample_description	description	study_accession
SAMEA12118808	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118809	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118810	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118815	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118817	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118819	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118821	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118826	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118828	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118831	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118836	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118840	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118841	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118844	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118845	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118852	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118853	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118855	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118856	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118863	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118865	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118875	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118878	16S rRNA	16S rRNA	PRJEB49814
SAMEA12118879	16S rRNA	16S rRNA	PRJEB49814
SAMEA3107702	16S rRNA	16S rRNA	PRJEB7637
SAMEA3107703	16S rRNA	16S rRNA	PRJEB7637
SAMEA3107709	16S rRNA	16S rRNA	PRJEB7637
